GRE,TOEFL,SOP,LOR ,CGPA,COA,UR
337,118,4.5,4.5,9.65,0.92,4
324,107,4,4.5,8.87,0.76,4
316,104,3,3.5,8,0.72,3
322,110,3.5,2.5,8.67,0.8,3
314,103,2,3,8.21,0.65,2
330,115,4.5,3,9.34,0.9,5
321,109,3,4,8.2,0.75,3
308,101,3,4,7.9,0.68,2
302,102,2,1.5,8,0.5,1
323,108,3.5,3,8.6,0.45,3
325,106,3.5,4,8.4,0.52,3
327,111,4,4.5,9,0.84,4
328,112,4,4.5,9.1,0.78,4
307,109,4,3,8,0.62,3
311,104,3.5,2,8.2,0.61,3
314,105,3.5,2.5,8.3,0.54,3
317,107,4,3,8.7,0.66,3
319,106,4,3,8,0.65,3
318,110,4,3,8.8,0.63,3
303,102,3.5,3,8.5,0.62,3
312,107,3,2,7.9,0.64,3
325,114,3,2,8.4,0.7,4
328,116,5,5,9.5,0.94,5
334,119,5,4.5,9.7,0.95,5
336,119,4,3.5,9.8,0.97,5
340,120,4.5,4.5,9.6,0.94,5
322,109,4.5,3.5,8.8,0.76,5
298,98,1.5,2.5,7.5,0.44,2
295,93,2,2,7.2,0.46,1
310,99,1.5,2,7.3,0.54,2
300,97,3,3,8.1,0.65,2
327,103,4,4,8.3,0.74,3
338,118,3,4.5,9.4,0.91,4
340,114,4,4,9.6,0.9,5
331,112,4,5,9.8,0.94,5
320,110,5,5,9.2,0.88,5
299,106,4,4,8.4,0.64,2
300,105,1,2,7.8,0.58,1
304,105,3,1.5,7.5,0.52,1
307,108,4,3.5,7.7,0.48,2
308,110,3.5,3,8,0.46,3
316,105,2.5,2.5,8.2,0.49,2
313,107,2.5,2,8.5,0.53,2
332,117,4.5,4,9.1,0.87,4
326,113,4.5,4,9.4,0.91,5
322,110,5,4,9.1,0.88,5
329,114,4,5,9.3,0.86,5
339,119,4.5,4,9.7,0.89,5
321,110,3.5,5,8.85,0.82,3
327,111,3,4,8.4,0.78,4
313,98,2.5,4.5,8.3,0.76,3
312,100,1.5,3.5,7.9,0.56,2
334,116,4,3,8,0.78,4
324,112,4,2.5,8.1,0.72,4
322,110,3,3.5,8,0.7,3
320,103,3,3,7.7,0.64,3
316,102,2,3,7.4,0.64,3
298,99,4,2,7.6,0.46,2
300,99,3,2,6.8,0.36,1
311,104,2,2,8.3,0.42,2
309,100,3,3,8.1,0.48,2
307,101,4,3,8.2,0.47,3
304,105,3,3,8.2,0.54,2
315,107,4,3,8.5,0.56,2
325,111,3,3.5,8.7,0.52,3
325,112,3.5,3.5,8.92,0.55,4
327,114,3,3,9.02,0.61,3
316,107,3.5,3.5,8.64,0.57,2
318,109,3.5,4,9.22,0.68,3
328,115,4.5,4,9.16,0.78,4
332,118,5,5,9.64,0.94,5
336,112,5,5,9.76,0.96,5
321,111,5,5,9.45,0.93,5
314,108,4.5,4,9.04,0.84,4
314,106,3,5,8.9,0.74,3
